,Tarbaca,Parrita,Pirris,San Miguel,El Este,Coronado,Colima2,Colima1,Lindora1,Lindora2,Tejar,Higuito
Tarbaca,0.0,43580.2487569515,0.0,0.0,0.0,0.0,0.0,0.0,33828.1153906872,33719.7970401987,0.0,8117.31155878904
Parrita,43580.2487569515,0.0,9710.37116229709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pirris,0.0,9710.37116229709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52975.6498774365,0.0
San Miguel,0.0,0.0,0.0,0.0,20465.6399650367,5908.76845550728,5611.18997078516,5641.1883362181,19723.3057049545,19654.7860856583,0.0,0.0
El Este,0.0,0.0,0.0,20465.6399650367,0.0,14522.7182070321,0.0,0.0,0.0,0.0,15257.5114956074,28104.7742508161
Coronado,0.0,0.0,0.0,5908.76845550728,14522.7182070321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colima2,0.0,0.0,0.0,5611.18997078516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colima1,0.0,0.0,0.0,5641.1883362181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lindora1,33828.1153906872,0.0,0.0,19723.3057049545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lindora2,33719.7970401987,0.0,0.0,19654.7860856583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tejar,0.0,0.0,52975.6498774365,0.0,15257.5114956074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Higuito,8117.31155878904,0.0,0.0,0.0,28104.7742508161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
